date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state
2018-06-10,MANILA CITY,30,0.125,0.6774281805745553,0.3857493857493859,0.5689655172413793,0.8952794357026588,0.3882618510158013,-0.7967409143967131,-0.6043210366405338,Low
2018-06-17,MANILA CITY,10,0.0416666666666666,0.5129958960328317,0.1719901719901719,0.4586206896551724,0.9728703201302225,0.4853273137697517,-0.6632733829897569,-0.7483771906046598,Low
2018-06-24,MANILA CITY,24,0.1,0.3545827633378933,0.4963144963144968,0.5241379310344831,0.8060227889310905,0.3544018058690744,-0.47639166606143,-0.8792331775514474,Low
2018-07-01,MANILA CITY,29,0.1208333333333333,0.1477428180574555,0.3759213759213759,0.6137931034482762,0.7517634291915354,0.291196388261851,-0.6044600849579077,-0.7966354283439062,Low
2018-07-08,MANILA CITY,26,0.1083333333333333,0.2894664842681258,0.398034398034398,0.6206896551724139,0.833152468800868,0.2257336343115124,-0.5804187404125258,-0.814318172324514,Low
2018-07-15,MANILA CITY,38,0.1583333333333333,0.3034199726402189,0.2874692874692875,0.4793103448275863,0.9224091155724364,0.2257336343115124,-0.8259015364714787,-0.5638143773034268,Medium
2018-07-22,MANILA CITY,47,0.1958333333333333,1.0,0.1142506142506142,0.379310344827586,1.0,0.2257336343115124,-0.6873410913449085,-0.7263347879241295,Medium
2018-07-29,MANILA CITY,53,0.2208333333333333,0.1444596443228454,0.1511056511056512,0.489655172413793,0.9457406402604448,0.1941309255079006,-0.7509184544724025,-0.6603949384518164,Medium
2018-08-05,MANILA CITY,61,0.2541666666666666,0.1179206566347469,0.3808353808353807,0.6327586206896554,0.8293543136190992,0.291196388261851,-0.7172755441554934,-0.6967896337894536,Medium
2018-08-12,MANILA CITY,58,0.2416666666666666,0.6041039671682626,0.2174447174447174,0.4948275862068966,0.833152468800868,0.3544018058690744,-0.7172755441554934,-0.6967896337894536,Medium
2018-08-19,MANILA CITY,68,0.2833333333333333,0.3458276333789329,0.2751842751842751,0.4551724137931034,0.8293543136190992,0.3882618510158013,-0.7509184544724025,-0.6603949384518164,Medium
2018-08-26,MANILA CITY,79,0.3291666666666666,0.1143638850889192,0.253071253071253,0.6431034482758621,0.759631036353771,0.291196388261851,-0.7172755441554934,-0.6967896337894536,High
2018-09-02,MANILA CITY,98,0.4083333333333333,0.1329685362517099,0.4398034398034398,0.6172413793103451,0.5697232772653283,0.0654627539503386,-0.4567874343342994,-0.889575876378338,High
2018-09-09,MANILA CITY,99,0.4125,0.2790697674418604,0.312039312039312,0.5172413793103448,0.6975040694519804,0.3544018058690744,-0.6632733829897569,-0.7483771906046598,High
2018-09-16,MANILA CITY,129,0.5375,0.3781121751025991,0.3292383292383293,0.5465517241379313,0.6975040694519804,0.291196388261851,-0.695411280309673,-0.7186119615049984,High
2018-09-23,MANILA CITY,122,0.5083333333333333,0.2763337893296854,0.5245700245700247,0.5517241379310343,0.6161150298426478,0.0338600451467268,-0.8073724359982185,-0.5900421591634809,High
2018-09-30,MANILA CITY,151,0.6291666666666667,0.0574555403556771,0.4840294840294843,0.7637931034482757,0.5309278350515463,0.128668171557562,-0.5666938767204172,-0.8239284253426292,High
2018-10-07,MANILA CITY,159,0.6625,0.2489740082079343,0.4520884520884522,0.5758620689655172,0.5075963103635377,0.2257336343115124,-0.8112679583206136,-0.5846745246736025,High
2018-10-14,MANILA CITY,189,0.7875,0.119562243502052,0.611793611793612,0.7379310344827588,0.4224091155724361,0.1941309255079006,-0.9999096975250265,-0.013438630711873,High
2018-10-21,MANILA CITY,179,0.7458333333333333,0.0580027359781121,0.5687960687960689,0.5913793103448275,0.4612045577862182,0.291196388261851,-0.829720136676266,-0.5581796259215474,High
2018-10-28,MANILA CITY,104,0.4333333333333333,0.0084815321477428,0.5724815724815727,0.6258620689655177,0.2441671188279978,0.3544018058690744,-0.9396926207859084,-0.3420201433256686,High
2018-11-04,MANILA CITY,119,0.4958333333333333,0.1269493844049247,0.5036855036855036,0.6258620689655177,0.3760173629951168,0.4853273137697517,-0.6726251513366449,0.7399833821035143,High
2018-11-11,MANILA CITY,128,0.5333333333333333,0.0123119015047879,0.5294840294840295,0.5586206896551726,0.259631036353771,0.291196388261851,0.9012283419994114,0.4333445229571871,High
2018-11-18,MANILA CITY,137,0.5708333333333333,0.0082079343365253,0.5085995085995084,0.579310344827586,0.2132392837764513,0.291196388261851,-0.5584692188745204,-0.8295252446849842,High
2018-11-25,MANILA CITY,118,0.4916666666666666,0.0377564979480164,0.3157248157248158,0.5706896551724141,0.441671188279978,0.419864559819413,-0.999953926969049,-0.0095991634624003,High
2018-12-02,MANILA CITY,95,0.3958333333333333,0.0054719562243502,0.4312039312039311,0.5862068965517244,0.3176885512750949,0.3227990970654626,0.8660254037844384,-0.5000000000000004,High
2018-12-09,MANILA CITY,101,0.4208333333333333,0.0172366621067031,0.4914004914004911,0.5120689655172417,0.3602821486706454,0.3227990970654626,0.9551233988089904,0.2962081920669353,High
2018-12-16,MANILA CITY,75,0.3125,0.0528043775649794,0.3230958230958231,0.4362068965517243,0.4921323928377643,0.2595936794582392,0.9900482345416844,0.1407284380674135,Medium
2018-12-23,MANILA CITY,72,0.3,0.1359781121751026,0.1732186732186733,0.3913793103448275,0.5425935973955508,0.1941309255079006,-0.4485392140183953,-0.893763152903363,Medium
2018-12-30,MANILA CITY,80,0.3333333333333333,0.1015047879616963,0.0663390663390662,0.3293103448275862,0.7170374389582201,0.2595936794582392,0.4333445229571874,-0.9012283419994112,High
2019-01-13,MANILA CITY,55,0.2291666666666666,0.0035567715458276,0.3783783783783783,0.2948275862068966,0.2325013564839934,0.3882618510158013,0.9396926207859084,0.3420201433256687,Medium
2019-01-20,MANILA CITY,99,0.4125,0.0082079343365253,0.3734643734643735,0.2706896551724138,0.1627780792186652,0.3882618510158013,0.7961076341406206,0.6051550502664782,High
2019-01-27,MANILA CITY,91,0.3791666666666666,0.0084815321477428,0.1486486486486488,0.3586206896551727,0.259631036353771,0.291196388261851,0.3012051232890342,-0.95355937083353,High
2019-02-03,MANILA CITY,75,0.3125,0.0027359781121751,0.0786240786240787,0.174137931034483,0.3488876831253392,0.1941309255079006,0.9329535348254888,-0.3599968081200516,Medium
2019-02-10,MANILA CITY,64,0.2666666666666666,0.0054719562243502,0.3230958230958231,0.1827586206896555,0.2479652740097666,0.1941309255079006,0.6726251513366441,-0.739983382103515,Medium
2019-02-17,MANILA CITY,55,0.2291666666666666,0.0205198358413132,0.348894348894349,0.2655172413793107,0.2634291915355398,0.1941309255079006,0.6221047786506828,0.7829339974608236,Medium
2019-02-24,MANILA CITY,40,0.1666666666666666,0.0082079343365253,0.3882063882063883,0.263793103448276,0.0659251220835594,0.2595936794582392,-0.3287018169601078,0.9444337539113709,Medium
2019-03-03,MANILA CITY,34,0.1416666666666666,0.0082079343365253,0.3316953316953317,0.2879310344827588,0.1511123168746608,0.1625282167042889,-0.9849589146280212,0.1727887047662275,Low
